specy	cohort	WRpvalue	qvalue	coefficient	kingdom
Enterococcus_asini	domestic	0.00720608484454308	0.0102290231988723	-0.00100288143549814	Bacteria
Butyricicoccus_sp._N54.MGS.46	domestic		3.68360789833962e-05	-0.000216589090366704	Bacteria
Lactobacillus_sp._UMNPBX6	domestic	0.000724584689277322	0.00285247186338659	-3.77911486588515e-05	Bacteria
Merdibacter_massiliensis	domestic	1.24471780045822e-07	0.00175641053635483	-0.00169611319922512	Bacteria
Kaistia_sp._SCN_65.12	domestic		0.0220440077627305	-4.58516462344142e-05	Bacteria
Streptococcus_macedonicus	domestic	0.00563591816978344	0.00987373227938798	-0.000132830186922082	Bacteria
Streptococcus_parauberis	domestic	0.00588981821311735	0.0230878210081594	-2.83346098425662e-05	Bacteria
Treponema_azotonutricium	wild	0.00599028824541293	0.0403365593579328	1.90119407568699e-05	Bacteria
Campylobacter_jejuni	domestic	0.00152157319366063	0.00271497829351802	-0.0036801509275548	Bacteria
Butyricicoccus_pullicaecorum	domestic	4.58687547816032e-10	1.80288165282892e-06	-0.00673809248045374	Bacteria
Eubacterium_sp._UNK.MGS.26	domestic		0.000318504061195963	-0.00146286527304153	Bacteria
Clostridium_hathewayi_CAG.224	domestic		0.00108148644364284	-0.00220314170741167	Bacteria
Escherichia_phage_slur07	domestic	0.00157605952561865	0.010104844772792	-0.000464717740346586	Virus
Candidatus_Melainabacteria_bacterium_LEY3_CP_29_8	domestic	3.76561664929986e-08	0.000317226180695957	-0.000253930919243171	Bacteria
Brevibacterium_senegalense	domestic	1.98329127942372e-06	0.0399982122879885	-0.000543965752222869	Bacteria
Candidatus_Gastranaerophilales_bacterium_HUM_2	domestic	1.59643919864869e-05	9.64698072874017e-06	-0.000113844429620237	Bacteria
Sphaerochaeta_sp._UBA7781	domestic	1.16837832007949e-05	0.00319919009416008	-0.00121694754220951	Bacteria
Wallemia_mellicola	domestic	0.000145023839430924	0.00671809397628882	-9.87575462201877e-05	Eukaryota
Oscillibacter_ruminantium	domestic	1.3902367906971e-10	5.10038517160414e-05	-0.00733775620315919	Bacteria
Streptococcus_ovis	domestic	0.0082857126783388	0.00142542724196607	-6.92682441169334e-05	Bacteria
Ralstonia_sp._UBA689	wild	0.000378015815384692	0.0491202493311586	8.37196581398134e-06	Bacteria
Pseudoflavonifractor_sp._Marseille.P3106	domestic		0.0416339218453808	-0.00130450083052043	Bacteria
Streptococcus_sp._HSISB1	domestic	3.53136796869573e-07	0.00216578684260888	-0.0247452769532271	Bacteria
Bifidobacterium_pseudocatenulatum	domestic	1.56046162417599e-09	1.08329594400564e-05	-0.00058892683890716	Bacteria
Corynebacterium_stationis	domestic	1.98329127942372e-06	3.87658257578312e-07	-0.00400751824728053	Bacteria
Coprobacillus_sp._CAG.235_29_27	domestic		6.71067667973782e-05	-7.47756244096487e-05	Bacteria
Olegusella_massiliensis	domestic	0.00714580180437829	0.0408106723621111	-8.28101847672717e-05	Bacteria
Corynebacterium_glutamicum	domestic	2.66879580020259e-05	0.0131534762606244	-0.000523639759090364	Bacteria
X.Clostridium._saccharogumia	domestic		4.64428710585034e-05	-0.000397398136898845	Bacteria
Jeotgalicoccus_psychrophilus	domestic	6.29153745893598e-05	0.0390874704569452	-7.43097462777606e-05	Bacteria
X.Brevibacterium._flavum	domestic		0.0270751739567075	-1.99996276336098e-05	Bacteria
Negativibacillus_massiliensis	domestic	2.43589007289093e-10	0.00355806628428299	-0.0039648285867054	Bacteria
Aureobasidium_pullulans	wild	0.000140880351634055	0.0162974298973308	5.73094950087914e-06	Eukaryota
Streptococcus_lutetiensis	domestic	2.0473853245638e-06	0.00119169101345447	-0.00447528780033589	Bacteria
Acetobacterium_bakii	domestic	0.00329276994399392	0.0332449554118059	-1.56395716333191e-05	Bacteria
Variovorax_sp._67.131	wild		0.0209247079375015	7.51088704778419e-05	Bacteria
Caulobacter_vibrioides	wild	0.000679420954830771	0.00637282722945707	0.000236656960752813	Bacteria
X.Clostridium._aminophilum	domestic		0.00013800087939283	-0.0258646554279411	Bacteria
Collinsella_bouchesdurhonensis	domestic	0.000203279922511362	0.0173449714435619	-0.000148120458604754	Bacteria
