sample	cohort	status	ObservedSpecies	GeneRichness	MappingRatio	AntibiotisResistantGeneNumber	CAZYgeneNumber
A1	FinF	domestic	878	280752	0.00373466862756758	19	724
A2	FinF	domestic	812	267429	0.00318300201670855	9	677
A3	FinF	domestic	745	262197	0.00240884211311096	10	701
A4	FinF	domestic	815	263110	0.00291508086937723	10	711
ASTUR3	SpaR	domestic	1461	276417	0.00148993082547255	29	754
ASTUR4	SpaR	domestic	1082	259196	0.00111721638518049	23	732
ASTUR6	SpaR	domestic	779	230791	0.000921788362620894	22	718
ASTUR_1	SpaS	domestic	847	254589	0.00241017200015921	36	733
ASTUR2	SpaS	domestic	871	233067	0.00115382383744781	28	728
ASTUR_5	SpaS	domestic	935	259941	0.00470119308499074	39	690
HF_1	FinR	domestic	586	247073	0.0014498368949688	24	681
HF_2	FinR	domestic	521	227083	0.00108030186956856	19	667
HF_3	FinR	domestic	641	254059	0.00112066504363879	20	690
HF_4	FinR	domestic	537	237232	0.00199076425180984	23	661
HF_5	FinR	domestic	641	253711	0.00238071857933837	22	690
HF_6	FinR	domestic	622	240394	0.00382916205190932	24	688
D10	ArgCTL	domestic	700	252692	0.0025034913656296	29	724
D11	ArgCTL	domestic	968	257194	0.00422777553705764	38	729
D12	ArgCTL	domestic	1076	280289	0.00624214355521665	37	708
D13	ArgCTL	domestic	736	238620	0.00307766876301205	26	719
D1	ArgCTL	domestic	746	234346	0.00246808936009222	29	669
D3	ArgCTL	domestic	784	260846	0.00480870479637015	31	766
D4	ArgCTL	domestic	832	245350	0.00402798083980427	31	685
D6	ArgCTL	domestic	1026	255570	0.00470669962824636	31	700
D9	ArgCTL	domestic	1104	278198	0.00394369405231031	35	713
DA	ArgCTL	domestic	1129	267782	0.00542935280489922	27	721
D8	ArgCTL	domestic	913	250614	0.00358644267830571	35	683
DC	ArgCTL	domestic	711	239164	0.0019746370817615	25	724
DD	ArgCTL	domestic	919	242252	0.00178786288941152	24	735
ASTUR_7	SpaW	wild	823	243949	0.00294110927752362	18	752
ASTUR_8	SpaW	wild	764	251433	0.00141726159771516	11	757
ASTUR_9	SpaW	wild	771	246459	0.00305300291179357	16	741
J1	Jp	wild	1738	337887	0.0104767714767461	8	850
J10	Jp	wild	1406	291769	0.00356694236443275	5	822
J11	Jp	wild	1407	293417	0.00717143558673033	12	797
J2	Jp	wild	1425	287296	0.00365684454160613	9	803
J3	Jp	wild	1960	351740	0.0131986195373807	12	856
J4	Jp	wild	1560	313987	0.00499751720129421	7	853
J5	Jp	wild	1603	313633	0.00870702983652709	14	831
J6	Jp	wild	1306	281433	0.00897519185914252	2	798
J7	Jp	wild	1960	347799	0.0184264953290681	18	826
J8	Jp	wild	1144	288269	0.00316980856369281	3	811
J9	Jp	wild	1337	277556	0.00362294337889951	9	792
S1	Sib	wild	531	254429	0.00191330944917068	15	739
S2	Sib	wild	456	252822	0.00142524936965801	12	721
S3	Sib	wild	498	256670	0.00139081949817671	2	723
W13	ArgW	wild	579	221567	0.000879296892348358	3	721
W16	ArgW	wild	820	257034	0.00153350713080816	4	791
W10	ArgW	wild	893	261747	0.00316270356901665	3	743
W11	ArgW	wild	1798	349729	0.0213775480663057	14	810
W12	ArgW	wild	1138	280410	0.011667121887645	7	763
W14	ArgW	wild	881	259954	0.00147579118229221	2	774
W15	ArgW	wild	1055	283109	0.00161229770108874	9	766
W1	ArgW	wild	662	249088	0.0015274950767402	9	706
W2	ArgW	wild	689	257391	0.00133393669578361	6	751
W3	ArgW	wild	701	268912	0.00147848012355145	6	793
W4	ArgW	wild	707	232500	0.00227880516923567	6	720
W5	ArgW	wild	1067	264381	0.00513886625145	8	801
W6	ArgW	wild	535	219914	0.000722810047153649	3	736
W7	ArgW	wild	1585	328816	0.010284735254749	8	826
W8	ArgW	wild	756	247004	0.00510182542708393	2	722
W9	ArgW	wild	991	268481	0.00486973789923211	8	753
