sample	PE	SE	GCA_UNIQUE	GCA_MULTIPLE_SPLIT	GCA_MULTIPLE_Zero	SPE_MULTIPLE_SPLIT	SPE_MULTIPLE_ZERO	MAPPING_RATIO
A1	44109439	958281	64955	8909	745	93704	1875	0.00373466862756758
A2	42108736	999625	22365	2955	880	111014	2100	0.00318300201670855
A3	42947011	1316164	20559	1796	1318	82950	1722	0.00240884211311096
A4	40143971	1227437	26548	1635	1605	90813	1968	0.00291508086937723
ASTUR3	44636286	848376	17216	3315	939	46299	1462	0.00148993082547255
ASTUR4	45995761	481359	13376	1940	583	36026	1656	0.00111721638518049
ASTUR6	47568093	931109	21144	1358	345	21859	1677	0.000921788362620894
ASTUR_1	38196251	1549875	20045	5781	554	69415	4584	0.00241017200015921
ASTUR2	49139073	944829	31634	1585	464	24105	1539	0.00115382383744781
ASTUR_5	33948979	1147431	30378	23751	633	110233	2754	0.00470119308499074
ASTUR_7	37906172	1401106	21484	21451	608	72064	2494	0.00294110927752362
ASTUR_8	49396909	1979633	20749	6681	1016	44368	3347	0.00141726159771516
ASTUR_9	38560611	1493396	15895	9099	540	96751	6723	0.00305300291179357
HF_1	37139449	1453168	13725	2390	604	39234	1378	0.0014498368949688
HF_2	26079427	6118055	10331	2879	429	21144	1730	0.00108030186956856
HF_3	46852774	1715708	24697	2360	552	26820	1349	0.00112066504363879
HF_4	26910289	6224222	24819	1061	526	39557	1699	0.00199076425180984
HF_5	40581280	1171660	25424	25664	798	47516	3682	0.00238071857933837
HF_6	48480364	297932	37061	2659	1956	145104	2841	0.00382916205190932
J1	30435906	722166	121261	7944	1333	195898	1552	0.0104767714767461
J10	18563828	396669	22866	3619	600	40546	1488	0.00356694236443275
J11	20538748	382865	38337	3020	662	108019	1604	0.00717143558673033
J2	21066231	392160	22859	8194	617	46800	1242	0.00365684454160613
J3	23251471	406685	144772	15997	1023	150463	2698	0.0131986195373807
J4	22064012	398542	44749	21383	676	45449	871	0.00499751720129421
J5	16756237	284017	56008	5481	844	86037	1533	0.00870702983652709
J6	15393098	335368	61603	3056	602	75905	1057	0.00897519185914252
J7	23289446	440080	167647	49600	847	219158	1916	0.0184264953290681
J8	22874748	831100	24824	2933	545	46841	1497	0.00316980856369281
J9	18399841	364736	20071	3109	634	44169	1708	0.00362294337889951
S1	41418771	1172353	28460	4581	512	47937	1054	0.00191330944917068
S2	37474564	805053	18689	4485	522	30862	1308	0.00142524936965801
S3	44835189	1270722	23227	1871	1326	37701	1403	0.00139081949817671
D10	35967532	2820299	30314	4575	858	61358	1267	0.0025034913656296
D11	33603511	3624104	43011	10763	931	102685	900	0.00422777553705764
D12	28124141	2262536	70464	5485	1200	112529	1116	0.00624214355521665
D13	26491983	2730460	28742	3630	713	56852	1088	0.00307766876301205
D1	29067100	2484837	20069	4740	561	52503	884	0.00246808936009222
D3	36820588	3018414	46058	15408	754	129354	1492	0.00480870479637015
D4	27227597	1843296	25212	5227	863	85795	902	0.00402798083980427
D6	27355370	3044063	37227	21895	925	83034	1262	0.00470669962824636
D9	25715820	2294720	34350	5122	777	70216	1183	0.00394369405231031
DA	35650654	3200938	56877	27290	1867	124905	2514	0.00542935280489922
D8	28683200	1965833	28592	4190	1295	75844	1019	0.00358644267830571
DC	22576482	2781089	15245	2181	508	32138	911	0.0019746370817615
DD	25353364	3648860	19548	2037	754	29513	1055	0.00178786288941152
W13	21461812	10309027	7135	653	449	19699	1412	0.000879296892348358
W16	31382001	2162023	19260	6409	443	25328	2293	0.00153350713080816
W10	24870521	2252160	28057	1138	520	56066	837	0.00316270356901665
W11	29052910	4124749	230770	17428	886	460173	1934	0.0213775480663057
W12	26914742	2371401	169285	4707	561	167132	1064	0.011667121887645
W14	30389993	3860110	13989	6446	567	29544	1240	0.00147579118229221
W15	45703720	3429886	26380	4543	752	47543	1755	0.00161229770108874
W1	30143665	3117326	18449	1536	501	30320	1371	0.0015274950767402
W2	38670542	3015844	17045	1595	402	36565	1183	0.00133393669578361
W3	36141052	3198672	16999	2215	419	38530	1690	0.00147848012355145
W4	28180482	2550096	18473	1432	457	49667	1153	0.00227880516923567
W5	29825428	4146073	103564	2257	674	68080	2708	0.00513886625145
W6	19441007	8220479	7243	1747	384	10620	555	0.000722810047153649
W7	24901883	2592359	138162	3730	629	140250	1606	0.010284735254749
W8	31242212	2323029	36720	2568	386	131570	1403	0.00510182542708393
W9	24331705	2232353	52621	1705	395	74639	1298	0.00486973789923211
