sample	GT	CE	GH	CBM	PL	Others	AA
A1	0.241983409757654	0.0466741678604254	0.627512797541432	0.0768065110880235	0.00665965344319358	0.000268399329377603	9.50609798939658e-05
A2	0.253935743878982	0.0464313883399929	0.61884094302792	0.0735789317517531	0.00681351561902665	0.00035188560427579	4.75917780513134e-05
A3	0.252943935701719	0.0482144853045092	0.61813871575101	0.0739162152823925	0.00642161642488633	0.000308300240133523	5.67312953440583e-05
A4	0.24553000846219	0.0441243969699833	0.629272178401348	0.0754869713487634	0.00525483674643838	0.000239276524957438	9.23315463120903e-05
ASTUR3	0.181117272683826	0.0497429544567337	0.691015394014098	0.0646900177453925	0.0128201485685371	0.000501272503467031	0.00011294002794772
ASTUR4	0.173739158512096	0.0466143201223034	0.703369702849171	0.0625583134155929	0.0132147478037546	0.000419639265993543	8.41180310960444e-05
ASTUR6	0.17566973740904	0.0489873327794605	0.700867016758756	0.0625715817315859	0.0113995400576782	0.000389871570069046	0.000114919693409544
ASTUR_1	0.206938106630738	0.0466311622583588	0.668103602067481	0.0655505745716259	0.0123779227602582	0.000306727668394116	9.1904043132948e-05
ASTUR2	0.180030916600878	0.0483942927953734	0.697763532002511	0.0622939757392921	0.0110212908350296	0.000368501854588259	0.000127490172319483
ASTUR_5	0.241665652063375	0.0477032328305601	0.633718731487808	0.0675987657504858	0.00895364523901961	0.000265463203903837	9.45094248412743e-05
HF_1	0.226585306334894	0.0439403815636586	0.648862019757702	0.0689844516375537	0.0112201047976822	0.000326115561461911	8.16203470543128e-05
HF_2	0.269244476239645	0.0495662463262129	0.598981619859473	0.0713233754534164	0.0103237498366681	0.00038778231654608	0.000172749968033435
HF_3	0.278348018964061	0.0502186681088471	0.594061013488521	0.0699941030951229	0.00703817835833821	0.000239608402321476	0.000100409582784258
HF_4	0.292534074150707	0.0464548569173176	0.583010719352673	0.0687598785725722	0.00889542942912212	0.000263514318343258	8.15272592543808e-05
HF_5	0.265348440768783	0.0417757218284138	0.614914642752969	0.0677925897119854	0.0096987832375613	0.000329305373788229	0.000140516326498824
HF_6	0.267366943133994	0.046759846085296	0.610529432699894	0.0665496345741108	0.00845036438209586	0.000272123262968487	7.16558616432871e-05
D10	0.338475820989868	0.0369743391051391	0.55332992228601	0.0641665306096927	0.00670068116494804	0.000197557126438779	0.000155148717908956
D11	0.375154309987905	0.0406138290238446	0.512316854883947	0.0659153628275676	0.00566526902938412	0.000142385937648482	0.00019198830970466
D12	0.382078620420683	0.0349757635090275	0.508986089614806	0.0671225512112055	0.00619405383081058	0.00016938266151166	0.000473538751963268
D13	0.307383283129892	0.036356603570127	0.583591117426896	0.0650536162249064	0.00730042859265578	0.000181170075496321	0.000133780980030267
D1	0.309713048461929	0.0385530243793402	0.58209641869648	0.0615733424019277	0.00778489120187106	0.000185915550406036	9.33593080545626e-05
D3	0.290375027899907	0.040849200912726	0.593565191189711	0.0672124756309476	0.00746541533462606	0.000227618856967224	0.000305070175113768
D4	0.304141607771264	0.0387958295987628	0.584258662287011	0.0639190213024253	0.00857027011872328	0.000203706923598696	0.000110901998211363
D6	0.317502169821369	0.036396096586939	0.57606132670108	0.0624281751602681	0.00730226384019573	0.000184763206679026	0.000125204683477552
D9	0.327254081477798	0.0406973281169234	0.556139435203649	0.0676343669961241	0.00774734488579108	0.000225390768143291	0.000302052551572401
DA	0.269557626103102	0.0373165297803671	0.61484516953425	0.0672082116405207	0.0106555181246265	0.00026084861222854	0.00015609620491217
D8	0.30095641423914	0.0383909602658956	0.58615669722563	0.0668091777998426	0.00732901297711361	0.000177670293835049	0.000180067198547608
DC	0.293906690408269	0.038585210609032	0.589698190365495	0.0689296427964848	0.00849599188049032	0.000232416164561511	0.00015185777566604
DD	0.279108732867236	0.0418471484041607	0.601564955611478	0.0689961162089663	0.00807528463883116	0.000255581917197296	0.000152180352135256
ASTUR_7	0.183003220879404	0.0555339357858718	0.677142408248931	0.0631057718484649	0.0205700634872923	0.000553298454448219	9.13012955877549e-05
ASTUR_8	0.211946579597684	0.0473639194101291	0.663136558892099	0.0654649158060494	0.0116266697530971	0.000346852195107801	0.000114504345838565
ASTUR_9	0.192680636847409	0.0495116467715037	0.677515022103216	0.0661265573008734	0.0135703831175164	0.000499931497146502	9.58223623309688e-05
J1	0.258646147628103	0.0448761285205453	0.607875196500819	0.0727021705790195	0.0127254068768642	0.000363439431972218	0.00281151046267731
J10	0.21266915081066	0.048731951956309	0.649281737588221	0.0708467768354478	0.0156091663237973	0.000402507317352942	0.00245870916821611
J11	0.226704361602082	0.0441226145881842	0.636521004989703	0.0729144773196191	0.0156662297254428	0.000393397522090686	0.00367791425288121
